8.0	9.0	2.0
8.0	10.0	2.0
8.0	22.0	3.0
8.0	35.0	2.0
8.0	37.0	2.0
8.0	48.0	4.0
8.0	62.0	1.0
8.0	63.0	1.0
8.0	65.0	1.0
8.0	68.0	3.0
8.0	85.0	2.0
8.0	92.0	1.0
8.0	98.0	1.0
32.0	106.0	3.0
57.0	124.0	1.0
57.0	125.0	3.0
57.0	126.0	1.0
57.0	129.0	1.0
57.0	139.0	2.0
57.0	168.0	2.0
57.0	184.0	3.0
57.0	192.0	2.0
147.0	212.0	7.0
147.0	215.0	6.0
147.0	222.0	6.0
147.0	224.0	5.0
147.0	246.0	6.0
147.0	249.0	5.0
147.0	253.0	7.0
147.0	260.0	5.0
147.0	263.0	7.0
147.0	264.0	3.0
147.0	265.0	6.0
147.0	284.0	3.0
147.0	294.0	3.0
147.0	297.0	7.0
233.0	303.0	5.0
233.0	316.0	3.0
233.0	326.0	5.0
233.0	330.0	1.0
233.0	331.0	5.0
233.0	342.0	4.0
233.0	346.0	4.0
233.0	352.0	4.0
233.0	353.0	2.0
233.0	368.0	5.0
233.0	370.0	2.0
233.0	374.0	4.0
233.0	395.0	2.0
233.0	398.0	2.0
233.0	401.0	5.0
242.0	407.0	12.0
242.0	412.0	9.0
242.0	415.0	12.0
242.0	418.0	13.0
242.0	422.0	10.0
242.0	437.0	13.0
242.0	438.0	15.0
242.0	444.0	11.0
242.0	449.0	14.0
242.0	453.0	14.0
242.0	455.0	11.0
242.0	461.0	10.0
242.0	465.0	11.0
242.0	473.0	11.0
242.0	489.0	8.0
242.0	490.0	9.0
242.0	499.0	12.0
259.0	512.0	16.0
259.0	515.0	1.0
259.0	535.0	4.0
259.0	540.0	3.0
259.0	549.0	6.0
259.0	557.0	2.0
259.0	571.0	9.0
259.0	574.0	8.0
259.0	587.0	8.0
259.0	592.0	7.0
259.0	593.0	3.0
259.0	594.0	5.0
259.0	599.0	13.0
259.0	601.0	4.0
259.0	602.0	3.0
302.0	603.0	3.0
302.0	606.0	6.0
302.0	611.0	4.0
302.0	616.0	4.0
302.0	621.0	4.0
302.0	629.0	4.0
302.0	632.0	4.0
302.0	642.0	4.0
302.0	650.0	2.0
302.0	656.0	5.0
302.0	659.0	4.0
302.0	668.0	4.0
302.0	669.0	3.0
302.0	670.0	5.0
302.0	672.0	4.0
302.0	676.0	3.0
302.0	685.0	4.0
302.0	696.0	5.0
319.0	712.0	1.0
319.0	716.0	3.0
319.0	718.0	2.0
319.0	729.0	2.0
319.0	731.0	3.0
319.0	733.0	1.0
319.0	741.0	2.0
319.0	758.0	2.0
319.0	761.0	3.0
319.0	780.0	1.0
319.0	784.0	1.0
319.0	790.0	3.0
319.0	793.0	2.0
336.0	810.0	7.0
336.0	840.0	6.0
336.0	856.0	4.0
336.0	857.0	7.0
336.0	863.0	5.0
336.0	864.0	4.0
336.0	865.0	3.0
